# From MPC 26543
P/1994 N2 (McNaught-Hartley),e,17.8714,35.7290,313.2406,7.515139,0.0478408,0.67428995,347.4883,02/05.0/2015,2000,g  8.5,6.0
# From MPC 75007
C/1995 O1 (Hale-Bopp),e,89.5227,282.1712,130.8161,183.5505,0.0003963,0.99491917,0.0000,03/29.6683/1997,2000,g -2.0,4.0
# From NK 1615
P/1996 R2 (Lagerkvist),e,2.6006,40.0656,333.2728,3.776251,0.1343114,0.31143600,162.4960,02/05.0/2015,2000,g 11.5,4.0
# From MPC 30063
P/1997 B1 (Kobayashi),e,12.3804,329.0332,183.3008,8.564279,0.0393249,0.76113899,257.5453,02/05.0/2015,2000,g 15.0,2.0
# From CCO 16
P/1998 QP54 (LONEOS-Tucker),e,17.6488,341.6010,30.6320,4.204395,0.1143270,0.55134691,322.9564,02/05.0/2015,2000,g 15.0,2.0
# From MPC 75703
P/1998 VS24 (LINEAR),e,5.0224,159.0655,245.1640,4.530999,0.1021911,0.24202225,249.6321,02/05.0/2015,2000,g 13.0,2.0
# From NK 1780
P/1999 D1 (Hermann),e,21.3528,348.7526,174.0228,5.751512,0.0714547,0.71416138,55.6216,02/05.0/2015,2000,g 15.0,4.0
# From CCO 17
P/1999 R1 (SOHO),e,12.5640,359.6719,48.9521,2.516059,0.2469579,0.97870239,0.0000,09/04.0352/2015,2000,g 27.0,6.0
# From NK 731
P/1999 RO28 (LONEOS),e,8.2060,148.3082,219.8980,3.506211,0.1501229,0.65394611,116.9859,02/05.0/2015,2000,g 20.0,2.0
# From MPC 75704
P/1999 V1 (Catalina),e,15.5635,294.3848,186.8657,6.576904,0.0584348,0.55084182,326.5487,02/05.0/2015,2000,g 10.0,4.0
# From MPC 75704
P/1999 XN120 (Catalina),e,5.0285,285.3303,161.9130,4.185955,0.1150833,0.21237255,261.2799,02/05.0/2015,2000,g 13.5,2.0
# From NK 744
P/2000 R2 (LINEAR),e,11.3117,161.6988,174.5030,3.378851,0.1586904,0.56440623,115.8850,02/05.0/2015,2000,g 18.0,4.0
# From MPC 75704
P/2000 S1 (Skiff),e,21.0264,28.1669,309.1465,6.613844,0.0579460,0.61672444,309.5510,02/05.0/2015,2000,g 10.0,4.0
# From MPC 73461
P/2000 S4 (LINEAR-Spacewatch),e,28.4661,174.1125,172.5761,7.119648,0.0518819,0.67946667,271.9156,02/05.0/2015,2000,g 17.5,2.0
# From MPC 75704
P/2001 BB50 (LINEAR-NEAT),e,10.3672,351.1854,193.4850,5.724932,0.0719530,0.58730556,11.1019,02/05.0/2015,2000,g 13.0,4.0
# From MPC 48380
P/2001 F1 (NEAT),e,19.0672,92.7041,80.5126,6.510599,0.0593298,0.35711766,311.2630,02/05.0/2015,2000,g  8.5,4.0
# From MPC 43019
P/2001 H5 (NEAT),e,8.3818,328.6963,224.7838,6.102482,0.0653799,0.60102521,343.0756,02/05.0/2015,2000,g 12.0,4.0
# From MPC 75704
P/2001 Q6 (NEAT),e,56.9082,22.0810,43.1535,7.922278,0.0442007,0.82391667,213.5673,02/05.0/2015,2000,g 13.5,4.0
# From MPC 82311
P/2001 R6 (LINEAR-Skiff),e,17.3813,67.3292,308.5516,4.176453,0.1154763,0.47549972,205.5042,02/05.0/2015,2000,g 13.0,4.0
# From MPC 75704
P/2001 T3 (NEAT),e,19.4096,55.2132,356.8534,6.437728,0.0603400,0.61465674,286.2932,02/05.0/2015,2000,g 12.0,4.0
# From MPC 47727
