ObjectNum,Name,Type,Constellation,RAHour,RAMinute,DecSign,DecDeg,DecMinute,Magnitude,Size,Distance (ly), longname
1,NGC1952,Supernova Remnant,Taurus,5,34.5,+,22,1,8.4,6,6300,Crab Nebula
2,NGC7089,Globular Cluster,Aquarius,21,33.5,-,0,49,6.5,12.9,37500,
3,NGC5272,Globular Cluster,Canes Venatici,13,42.2,+,28,23,6.2,16.2,33900,
4,NGC6121,Globular Cluster,Scorpius,16,23.6,-,26,32,5.6,26.3,7200,
5,NGC5904,Globular Cluster,Serpens Caput,15,18.6,+,2,5,5.6,17.4,24500,
6,NGC6405,Open Cluster,Scorpius,17,40.1,-,32,13,5.3,25,2000,Butterfly Cluster
7,NGC6475,Open Cluster,Scorpius,17,53.9,-,34,49,4.1,80,800,Ptolemy's Cluster
8,NGC6523,Diffuse Nebula,Sagittarius,18,3.8,-,24,23,6,90,5200,Lagoon Nebula
9,NGC6333,Globular Cluster,Ophiuchus,17,19.2,-,18,31,7.7,9.3,26700,
10,NGC6254,Globular Cluster,Ophiuchus,16,57.1,-,4,6,6.6,15.1,14400,
11,NGC6705,Open Cluster,Scutum,18,51.1,-,6,16,6.3,14,6000,Wild Duck Cluster
12,NGC6218,Globular Cluster,Ophiuchus,16,47.2,-,1,57,6.7,14.5,16000,
13,NGC6205,Globular Cluster,Hercules,16,41.7,+,36,28,5.8,16.6,22800,Hercules Globular Cluster
14,NGC6402,Globular Cluster,Ophiuchus,17,37.6,-,3,15,7.6,11.7,27400,
15,NGC7078,Globular Cluster,Pegasus,21,30,+,12,10,6.2,12.3,33600,
16,NGC6611,Open Cluster,Serpens Cauda,18,18.8,-,13,47,6.4,7,7000,Eagle Nebula Cluster
17,NGC6618,Diffuse Nebula,Sagittarius,18,20.8,-,16,11,7,11,5000,"Omega, Swan, Horseshoe Nebula"
18,NGC6613,Open Cluster,Sagittarius,18,19.9,-,17,8,7.5,9,4900,
19,NGC6273,Globular Cluster,Ophiuchus,17,2.6,-,26,16,6.8,13.5,27100,
20,NGC6514,Diffuse Nebula,Sagittarius,18,2.3,-,23,2,9,28,5200,Trifid Nebula
21,NGC6531,Open Cluster,Sagittarius,18,4.6,-,22,30,6.5,13,4250,
22,NGC6656,Globular Cluster,Sagittarius,18,36.4,-,23,54,5.1,24,10100,
23,NGC6494,Open Cluster,Sagittarius,17,56.8,-,19,1,6.9,27,2150,
24,NGC6603,Star Cloud,Sagittarius,18,18.4,-,18,25,4.6,90,10000,Milky Way Patch
25,NGC0000,Open Cluster,Sagittarius,18,31.7,-,19,14,6.5,40,2000,
26,NGC6694,Open Cluster,Scutum,18,45.2,-,9,24,8,15,5000,
27,NGC6853,Planetary Nebula,Vulpecula,19,59.6,+,22,43,7.4,8,1250,Dumbbell Nebula
28,NGC6626,Globular Cluster,Sagittarius,18,24.5,-,24,52,6.8,11.2,17900,
29,NGC6913,Open Cluster,Cygnus,20,23.9,+,38,32,7.1,7,4000,
30,NGC7099,Globular Cluster,Capricornus,21,40.4,-,23,11,7.2,11,24800,
31,NGC224,Spiral Galaxy,Andromeda,0,42.7,+,41,16,3.4,178,2900000,Andromeda Galaxy
32,NGC221,Elliptical Galaxy,Andromeda,0,42.7,+,40,52,8.1,8,2900000,Satellite of M31
33,NGC598,Spiral Galaxy,Triangulum,1,33.9,+,30,39,5.7,73,3000000,Triangulum/Pinwheel Galaxy
34,NGC1039,Open Cluster,Perseus,2,42,+,42,47,5.5,35,1400,
35,NGC2168,Open Cluster,Gemini,6,8.9,+,24,20,5.3,28,2800,
36,NGC1960,Open Cluster,Auriga,5,36.1,+,34,8,6.3,12,4100,
37,NGC2099,Open Cluster,Auriga,5,52.4,+,32,33,6.2,24,4400,
38,NGC1912,Open Cluster,Auriga,5,28.7,+,35,50,7.4,21,4200,
39,NGC7092,Open Cluster,Cygnus,21,32.2,+,48,26,5.2,32,825,
40,NGC0000,Double Star,Ursa Major,12,22.2,+,58,5,9.3,0.81,510,
41,NGC2287,Open Cluster,Canis Major,6,47,-,20,44,4.6,38,2300,
42,NGC1976,Diffuse Nebula,Orion,5,35.4,-,5,27,4,85,1600,Great Orion Nebula
