ObjectNum,Name,Type,Constellation,Magnitude,Info,RAHour,RAMinute,DecSign,DecDeg,DecMinute
4,,Galaxy,Psc,,eF,0,7.4,+,8,22
7,ESO 409-22,Galaxy,Scl,,"Size: 2.5  eF, cL, mE, vgvlbM",0,8.4,-,29,55
8,,Double Star,Peg,,"vF, N in n end",0,8.8,+,23,50
10,ESO 349-32,Galaxy,Scl,,"Size: 2.7  F, cL, vlE, glbM",0,8.6,-,33,52
17,NGC 34,,Cet,,"vF, eS, iR, D* 2' p; = 34",0,11,-,12,6
18,,Double Star,Peg,,"F, vS, iR, mbM, 16 p 19s",0,9.4,+,27,43
30,,Double Star,Peg,,neb *13,0,10.8,+,21,57
32,,Asterism,Peg,,F,0,10.9,+,18,47
33,,Double Star,Psc,,"eF, vS, or neb st",0,10.9,+,3,40
40,PK 120+9.1,Planetary Nebula,Cep,11,"Size: 0.6  F, vS, R, vsmbM, *12 sp",0,13,+,72,32
46,,Star,Psc,,nebula,0,14.1,+,5,59
50,MCG 1-1-58,Galaxy,Cet,,vF,0,14.7,-,7,20
55,Dunlop 507,Galaxy,Scl,8,"Size: 32.4  vB, vL, vmE, triN",0,14.9,-,39,11
58,NGC 47,,Cet,,"vF, pS, R; = 47",0,14.5,-,7,10
77,ESO 473-15,,Cet,,"eF, vS, iF (*?), *9 p 3'",0,20,-,22,31
81,NPM1G +22.0016,Galaxy,And,,"eeF, sp 83",0,21.2,+,22,22
90,UGC 208,Star,And,,"vF, lE",0,21.9,+,22,25
98,ESO 242-5,Galaxy,Phe,,"Size: 1.8  vF, pS, R, bM, r",0,22.8,-,45,16
100,UGC 231,Galaxy,Psc,,"Size: 5.8  vF, pS, mE, 2' long",0,24,+,16,29
104,47 Tucanae,Globular Cluster,Tuc,4,"Size: 30.9  glob. cl.  !! vB, vL, vmCM",0,24.1,-,72,5
106,,Galaxy,Psc,,"pF, vS, R, lbM",0,24.7,-,5,10
107,MCG 2-2-14,Galaxy,Cet,,"F, pL, *7 sf 5'",0,25.6,-,8,17
110,OCL 300,Open Cluster,Cas,,"Cl, pR, lC, st 9...12",0,27.4,+,71,23
115,ESO 350-17,Galaxy,Scl,,"vF, pL, lE, D* 2' np",0,26.8,-,33,41
129,OCL 294,Open Cluster,Cas,6.5,"Size: 21.  Cl, vL, pR, lC, st 9...13",0,29.9,+,60,14
131,ESO 350-21,Galaxy,Scl,,"Size: 2.1  F, pL, pmE, vgbM, p of 2",0,29.6,-,33,16
135,IC 26,,Cet,,"vF, vS, R",0,31.8,-,13,22
136,OCL 295,Open Cluster,Cas,,"Size: 1.  glob. cl. , vF, S, eC",0,31.5,+,61,32
